CustomerID,StockCode,NeighborCount
18180.0,21484,3
18180.0,22633,2
18180.0,51014A,2
18180.0,22837,2
18180.0,22834,2
18180.0,22866,2
18180.0,51014L,2
18180.0,22632,2
18180.0,22026,2
18180.0,21486,2
17061.0,23084,3
17061.0,84879,2
17061.0,84991,2
17061.0,22469,2
17061.0,21977,2
17061.0,84988,1
17061.0,21974,1
17061.0,23174,1
17061.0,23162,1
17061.0,23173,1
14892.0,22617,2
14892.0,21874,2
14892.0,85123A,2
14892.0,72351B,2
14892.0,21985,2
14892.0,84879,1
14892.0,22090,1
14892.0,21216,1
14892.0,21136,1
14892.0,22299,1
17100.0,22561,3
17100.0,23298,2
17100.0,21918,2
17100.0,21156,2
17100.0,22910,2
17100.0,21888,2
17100.0,22595,2
17100.0,22623,2
17100.0,22271,2
17100.0,22273,2
14435.0,15036,2
14435.0,16014,2
14435.0,16015,2
14435.0,16016,2
14435.0,21975,1
14435.0,22433,1
14435.0,22334,1
14435.0,20975,1
14435.0,21207,1
14435.0,47590B,1
14676.0,23353,2
14676.0,21207,2
14676.0,20676,2
14676.0,22333,2
14676.0,21122,2
14676.0,22437,2
14676.0,21121,2
14676.0,22417,2
14676.0,22613,2
14676.0,21124,2
18011.0,21931,2
18011.0,90030B,1
18011.0,90201B,1
18011.0,17003,1
18011.0,90031,1
18011.0,90030A,1
18011.0,POST,1
18011.0,22512,1
18011.0,90201C,1
18011.0,22513,1
15775.0,84970L,3
15775.0,84970S,2
15775.0,22295,2
15775.0,84978,1
15775.0,21651,1
15775.0,85062,1
15775.0,47581B,1
15775.0,47505,1
15775.0,20728,1
15775.0,85014B,1
17180.0,21843,5
17180.0,21211,3
17180.0,21210,3
17180.0,47599A,2
17180.0,22955,2
17180.0,16156S,2
17180.0,20971,2
17180.0,POST,2
17180.0,15060B,2
17180.0,22956,2
14475.0,22694,4
14475.0,82483,3
14475.0,23333,2
14475.0,23321,2
14475.0,21361,2
14475.0,23329,2
14475.0,21754,2
14475.0,22696,2
14475.0,84406B,2
14475.0,21756,2
15595.0,22144,2
15595.0,35400,2
15595.0,22952,2
15595.0,84270,2
15595.0,21375,2
15595.0,22336,1
15595.0,22255,1
15595.0,21364,1
15595.0,22045,1
15595.0,22254,1
15767.0,15056P,3
15767.0,85014A,1
15767.0,21631,1
15767.0,20750,1
15767.0,15039,1
15767.0,16008,1
15767.0,85015,1
15767.0,85014B,1
15767.0,15044D,1
14118.0,22502,2
14118.0,22393,1
14118.0,22391,1
14118.0,21472,1
14118.0,22423,1
14118.0,21754,1
14118.0,22501,1
14118.0,21915,1
14118.0,22548,1
14118.0,22561,1
13551.0,15056P,4
13551.0,85014A,2
13551.0,85014B,2
13551.0,15039,1
13551.0,15044D,1
13551.0,16008,1
13551.0,85015,1
13551.0,15060B,1
13783.0,85123A,3
13783.0,17091B,2
13783.0,85231E,2
13783.0,21733,2
13783.0,71053,2
13783.0,84952A,1
13783.0,21121,1
13783.0,20728,1
13783.0,85231G,1
13783.0,72008,1
14217.0,21755,5
14217.0,82482,5
14217.0,85066,5
14217.0,21733,4
14217.0,82483,4
14217.0,82486,4
14217.0,22766,4
14217.0,46000S,4
14217.0,46000M,4
14217.0,21622,4
15569.0,22583,5
15569.0,20728,5
15569.0,22617,5
15569.0,22501,5
15569.0,22561,5
15569.0,22086,5
