CustomerID,StockCode,Description,SimilarityScore
18180.0,22865,HAND WARMER OWL DESIGN,18.086085847763478
18180.0,21212,PACK OF 72 RETRO SPOT CAKE CASES,17.866340611816984
18180.0,21212,PACK OF 72 RETROSPOT CAKE CASES,17.866340611816984
18180.0,85123A,WHITE HANGING HEART T-LIGHT HOLDER,17.36452667497531
18180.0,85123A,CREAM HANGING HEART T-LIGHT HOLDER,17.36452667497531
18180.0,22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,17.191797721983527
18180.0,20725,LUNCH BAG RED SPOTTY,17.072913675423308
18180.0,20725,LUNCH BAG RED RETROSPOT,17.072913675423308
18180.0,22866,HAND WARMER SCOTTY DOG DESIGN,17.00302202953573
18180.0,22867,HAND WARMER BIRD DESIGN,16.89510834611326
18180.0,22382,LUNCHBAG SPACEBOY DESIGN ,16.88149433832612
18180.0,22382,LUNCH BAG SPACEBOY DESIGN ,16.88149433832612
18180.0,22952,72 CAKE CASES VINTAGE CHRISTMAS,16.830407789373535
18180.0,22952,SET 72 CAKE CASES VINTAGE CHRISTMAS,16.830407789373535
18180.0,22952,60 CAKE CASES VINTAGE CHRISTMAS,16.830407789373535
18180.0,21080,SET/20 RED SPOTTY PAPER NAPKINS ,16.63010388568469
18180.0,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,16.63010388568469
17061.0,21212,PACK OF 72 RETRO SPOT CAKE CASES,11.714397735308562
17061.0,21212,PACK OF 72 RETROSPOT CAKE CASES,11.714397735308562
17061.0,85123A,WHITE HANGING HEART T-LIGHT HOLDER,11.690001401680599
17061.0,85123A,CREAM HANGING HEART T-LIGHT HOLDER,11.690001401680599
17061.0,23298,SPOTTY BUNTING,11.541030580443794
17061.0,23298,"BUNTING , SPOTTY ",11.541030580443794
17061.0,84991,60 TEATIME FAIRY CAKE CASES,11.076679049314114
17061.0,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,10.868668188289604
17061.0,23245,SET OF 3 REGENCY CAKE TINS,10.859354710987503
17061.0,21080,SET/20 RED SPOTTY PAPER NAPKINS ,10.724788511562554
17061.0,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,10.724788511562554
17061.0,85099B,JUMBO BAG RED WHITE SPOTTY ,10.705676701391846
