Actual,Predicted
355.98,175.52130000000008
0.0,12.705300000000001
0.0,6.132000000000001
1570.06,832.1031000000004
0.0,118.71639999999996
0.0,0.0
0.0,127.53310000000003
0.0,0.0
-10.95,68.00065000000004
0.0,7.71875
636.25,146.04750000000004
117.98,296.66710000000006
0.0,187.7165500000001
0.0,60.909649999999985
0.0,-0.06675
0.0,657.8836500000002
0.0,210.5520999999999
177.9,212.14934999999994
326.72,326.3668499999999
0.0,0.0
0.0,0.0
0.0,46.92080000000001
292.78000000000003,115.02630000000003
0.0,0.0
1725.48,1369.8466500000004
0.0,6.132000000000001
0.0,0.0
311.61,297.8738500000004
994.2,176.14625000000004
1547.2,2497.7175999999986
0.0,0.0
0.0,13.981000000000002
0.0,44.26469999999999
0.0,2.52075
0.0,486.19229999999993
0.0,67.8442
0.0,0.0
0.0,177.44835000000003
0.0,248.8945999999999
940.73,1160.5743000000002
0.0,2.0759
0.0,23.047600000000003
0.0,46.19975
0.0,0.0
456.1,101.9781
0.0,19.971
0.0,0.0
0.0,7.535
605.5,234.6693500000002
0.0,5673.395150000005
354.95000000000005,963.6149000000001
984.68,902.2476000000003
643.69,387.36814999999945
0.0,39.25689999999998
0.0,0.0
0.0,0.0
0.0,482.1408999999992
304.7,666.1024999999998
0.0,0.0
0.0,232.9185500000001
75.0,102.27140000000009
0.0,150.11815000000007
0.0,0.8748999999999999
0.0,0.0
0.0,0.0
0.0,56.311350000000004
0.0,0.0
739.0,1180.8402500000009
0.0,0.0
0.0,2.5026
0.0,0.0
0.0,188.07970000000012
0.0,4.02125
117.85000000000001,208.08584999999988
0.0,2.044
0.0,22.075
0.0,0.0
0.0,125.85619999999999
0.0,41.89399999999998
0.0,143.45539999999997
0.0,411.3261000000002
0.0,0.0
574.9200000000001,901.208250000001
1449.27,1009.8962000000008
0.0,0.0
0.0,0.0
0.0,151.3129
0.0,246.9302999999999
0.0,0.0
1342.71,243.42005000000012
0.0,6.9308499999999995
0.0,-0.014750000000000001
0.0,37.05570000000001
0.0,0.7142999999999999
0.0,1.17585
316.76,417.16085
-8.850000000000001,71.49189999999999
0.0,1.80675
705.2,464.9271999999999
353.40000000000003,82.48194999999996
0.0,5440.678400000004
40.95,599.6544500000006
110.71000000000001,399.0421999999999
0.0,5.931750000000001
1239.38,1266.3748999999996
0.0,0.0
0.0,339.42575000000016
0.0,0.0
0.0,281.08034999999984
0.0,-0.029500000000000002
246.16000000000003,62.07485
718.4300000000001,451.1790000000001
0.0,46.989300000000014
179.24,54.70419999999999
0.0,2.5026
0.0,0.0
0.0,0.0
0.0,0.0
143.93,340.59985
0.0,32.99065
0.0,178.23164999999997
0.0,-0.014750000000000001
0.0,0.0
0.0,0.0
0.0,145.63425000000012
