Actual,Predicted,Residual
355.98,175.52130000000008,180.45869999999994
0.0,12.705300000000001,-12.705300000000001
0.0,6.132000000000001,-6.132000000000001
1570.06,832.1031000000004,737.9568999999996
0.0,118.71639999999996,-118.71639999999996
0.0,0.0,0.0
0.0,127.53310000000003,-127.53310000000003
0.0,0.0,0.0
-10.95,68.00065000000004,-78.95065000000004
0.0,7.71875,-7.71875
636.25,146.04750000000004,490.2025
117.98,296.66710000000006,-178.68710000000004
0.0,187.71655000000007,-187.71655000000007
0.0,60.90964999999999,-60.90964999999999
0.0,-0.06675,0.06675
0.0,657.8836500000002,-657.8836500000002
0.0,210.55209999999997,-210.55209999999997
177.9,212.1493499999999,-34.24934999999991
326.72,326.3668499999999,0.3531500000001415
0.0,0.0,0.0
0.0,0.0,0.0
0.0,46.9208,-46.9208
292.78000000000003,115.02630000000003,177.75369999999998
0.0,0.0,0.0
1725.48,1369.8466500000002,355.63334999999984
0.0,6.132000000000001,-6.132000000000001
0.0,0.0,0.0
311.61,297.8738500000004,13.736149999999611
994.2,176.14625,818.05375
1547.2,2497.717599999998,-950.5175999999981
0.0,0.0,0.0
0.0,13.981000000000002,-13.981000000000002
0.0,44.26469999999999,-44.26469999999999
0.0,2.52075,-2.52075
0.0,486.19229999999993,-486.19229999999993
0.0,67.8442,-67.8442
0.0,0.0,0.0
0.0,177.44835000000003,-177.44835000000003
0.0,248.89459999999988,-248.89459999999988
940.73,1160.5743000000002,-219.8443000000002
0.0,2.0759,-2.0759
0.0,23.047600000000003,-23.047600000000003
0.0,46.19975,-46.19975
0.0,0.0,0.0
456.1,101.9781,354.12190000000004
0.0,19.971,-19.971
0.0,0.0,0.0
0.0,7.535,-7.535
605.5,234.6693500000002,370.83064999999976
0.0,5673.395150000004,-5673.395150000004
354.95000000000005,963.6149000000004,-608.6649000000003
984.68,902.2476000000004,82.43239999999957
643.69,387.3681499999995,256.32185000000055
0.0,39.25689999999998,-39.25689999999998
0.0,0.0,0.0
0.0,0.0,0.0
0.0,482.1408999999991,-482.1408999999991
304.7,666.1025,-361.4025
0.0,0.0,0.0
0.0,232.91855000000015,-232.91855000000015
75.0,102.27140000000009,-27.271400000000085
0.0,150.11815000000007,-150.11815000000007
0.0,0.8748999999999999,-0.8748999999999999
0.0,0.0,0.0
0.0,0.0,0.0
0.0,56.311350000000004,-56.311350000000004
0.0,0.0,0.0
739.0,1180.8402500000004,-441.8402500000004
0.0,0.0,0.0
0.0,2.5026,-2.5026
0.0,0.0,0.0
0.0,188.07970000000012,-188.07970000000012
0.0,4.02125,-4.02125
117.85000000000001,208.08584999999985,-90.23584999999984
0.0,2.044,-2.044
0.0,22.075,-22.075
0.0,0.0,0.0
0.0,125.85619999999997,-125.85619999999997
0.0,41.89399999999998,-41.89399999999998
0.0,143.45539999999997,-143.45539999999997
0.0,411.3261000000004,-411.3261000000004
0.0,0.0,0.0
574.9200000000001,901.208250000001,-326.28825000000097
1449.27,1009.8962000000007,439.3737999999993
0.0,0.0,0.0
0.0,0.0,0.0
0.0,151.3129,-151.3129
0.0,246.9302999999999,-246.9302999999999
0.0,0.0,0.0
1342.71,243.4200500000001,1099.2899499999999
0.0,6.9308499999999995,-6.9308499999999995
0.0,-0.014750000000000001,0.014750000000000001
0.0,37.05570000000001,-37.05570000000001
0.0,0.7142999999999999,-0.7142999999999999
0.0,1.17585,-1.17585
316.76,417.16085000000004,-100.40085000000005
-8.850000000000001,71.49189999999999,-80.34189999999998
0.0,1.80675,-1.80675
705.2,464.9272,240.27280000000002
353.40000000000003,82.48194999999996,270.9180500000001
0.0,5440.678400000003,-5440.678400000003
40.95,599.6544500000006,-558.7044500000005
110.71000000000001,399.0421999999999,-288.33219999999994
0.0,5.931750000000001,-5.931750000000001
1239.38,1266.3748999999996,-26.99489999999946
0.0,0.0,0.0
0.0,339.4257500000001,-339.4257500000001
0.0,0.0,0.0
0.0,281.08034999999984,-281.08034999999984
0.0,-0.029500000000000002,0.029500000000000002
246.16000000000003,62.074850000000005,184.08515000000003
718.4300000000001,451.1790000000001,267.251
0.0,46.9893,-46.9893
179.24,54.70419999999999,124.53580000000002
0.0,2.5026,-2.5026
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
143.93,340.59985,-196.66985
0.0,32.99065,-32.99065
0.0,178.23164999999997,-178.23164999999997
0.0,-0.014750000000000001,0.014750000000000001
0.0,0.0,0.0
0.0,0.0,0.0
0.0,145.63425000000012,-145.63425000000012
136.0,237.25585000000012,-101.25585000000012
214.45000000000002,313.86020000000013,-99.41020000000012
0.0,114.25879999999994,-114.25879999999994
201.13,289.67839999999995,-88.54839999999996
0.0,84.71495000000003,-84.71495000000003
0.0,70.08960000000003,-70.08960000000003
0.0,545.1896999999997,-545.1896999999997
0.0,295.82770000000016,-295.82770000000016
51.8,44.02054999999999,7.779450000000004
218.53,88.00194999999994,130.52805000000006
0.0,39.41795,-39.41795
522.92,1046.574100000001,-523.654100000001
0.0,0.0,0.0
1383.68,503.9263499999994,879.7536500000007
0.0,0.0,0.0
0.0,15.624399999999996,-15.624399999999996
221.36,207.65614999999994,13.703850000000074
0.0,0.0,0.0
0.0,57.57735,-57.57735
159.23,162.70544999999984,-3.475449999999853
318.94,473.58344999999963,-154.64344999999963
318.12,1009.8718000000013,-691.7518000000013
0.0,0.0,0.0
0.0,162.5555000000001,-162.5555000000001
683.33,65.12365000000001,618.20635
0.0,84.16800000000003,-84.16800000000003
0.0,115.44295000000002,-115.44295000000002
0.0,158.01344999999995,-158.01344999999995
0.0,169.88225000000003,-169.88225000000003
353.98,430.8899499999996,-76.90994999999958
0.0,216.98945000000015,-216.98945000000015
1696.54,1307.9315999999992,388.60840000000076
0.0,0.0,0.0
329.04,17.016399999999997,312.02360000000004
151.83,151.14034999999993,0.6896500000000856
0.0,184.86619999999996,-184.86619999999996
0.0,3.6829,-3.6829
0.0,0.0,0.0
0.0,10.6347,-10.6347
1620.02,779.5410499999989,840.4789500000011
0.0,0.0,0.0
0.0,16.306449999999998,-16.306449999999998
0.0,50.56050000000001,-50.56050000000001
0.0,0.0,0.0
0.0,37.11429999999999,-37.11429999999999
1745.3200000000002,1615.0096499999981,130.31035000000202
0.0,956.0552499999986,-956.0552499999986
0.0,67.99900000000001,-67.99900000000001
0.0,28.9457,-28.9457
109.6,141.33919999999998,-31.739199999999983
0.0,77.76575000000001,-77.76575000000001
329.68,168.79495000000006,160.88504999999995
0.0,319.8253499999999,-319.8253499999999
0.0,-0.21840000000000004,0.21840000000000004
441.26000000000005,1230.4659500000014,-789.2059500000014
0.0,366.0095000000002,-366.0095000000002
0.0,235.21079999999995,-235.21079999999995
0.0,233.21830000000008,-233.21830000000008
0.0,58.332550000000026,-58.332550000000026
0.0,61.94045000000002,-61.94045000000002
0.0,93.0261,-93.0261
0.0,135.34609999999998,-135.34609999999998
0.0,4.1894,-4.1894
126.0,71.68260000000001,54.31739999999999
299.21000000000004,18.426050000000004,280.78395
0.0,32.3558,-32.3558
113.29,294.59024999999997,-181.30024999999995
0.0,85.48585000000003,-85.48585000000003
0.0,0.0,0.0
557.4200000000001,282.20980000000026,275.2101999999998
0.0,0.0,0.0
0.0,5.9836,-5.9836
0.0,-3.52,3.52
0.0,58.61135000000001,-58.61135000000001
0.0,87.06045000000002,-87.06045000000002
